Contest Type,Contest,Candidate or Measure,Position,Committee Name,Transaction Type,Expense
BALLOT MEASURE,MEASURE H,RETIREMENT BENEFITS FOR FIREFIGHTERS,SUPPORT,"YES ON H FOR FIREFIGHTERS HEALTH & SAFETY, SF FIRE FIGHTERS LOCAL 798",Payments,"$1,688,213"
BALLOT MEASURE,MEASURE H,RETIREMENT BENEFITS FOR FIREFIGHTERS,SUPPORT,TogetherSF Action,Independent Expenditure,"$1,000"
BALLOT MEASURE,MEASURE H,RETIREMENT BENEFITS FOR FIREFIGHTERS,SUPPORT,Coalition to Grow San Francisco - Grow SF PAC,Independent Expenditure,"$14,940"
BALLOT MEASURE,MEASURE I,RETIREMENT BENEFITS FOR NURSES AND 911 OPERATORS,OPPOSE,TogetherSF Action,Independent Expenditure,"$1,000"
BALLOT MEASURE,MEASURE I,RETIREMENT BENEFITS FOR NURSES AND 911 OPERATORS,SUPPORT,IMPROVE EMERGENCY RESPONSES TIMES - YES ON I,Unpaid Bills,$0
BALLOT MEASURE,MEASURE I,RETIREMENT BENEFITS FOR NURSES AND 911 OPERATORS,SUPPORT,IMPROVE EMERGENCY RESPONSES TIMES - YES ON I,Payments,"$763,707"
BALLOT MEASURE,MEASURE I,RETIREMENT BENEFITS FOR NURSES AND 911 OPERATORS,SUPPORT,Coalition to Grow San Francisco - Grow SF PAC,Independent Expenditure,"$14,940"
BALLOT MEASURE,MEASURE J,"FUNDING PROGRAMS SERVING CHILDREN, YOUTH, AND FAMILIES",SUPPORT,YES ON PROPOSITION J,Unpaid Bills,"$1,000"
BALLOT MEASURE,MEASURE J,"FUNDING PROGRAMS SERVING CHILDREN, YOUTH, AND FAMILIES",SUPPORT,YES ON PROPOSITION J,Payments,$213
BALLOT MEASURE,MEASURE J,"FUNDING PROGRAMS SERVING CHILDREN, YOUTH, AND FAMILIES",SUPPORT,TogetherSF Action,Independent Expenditure,"$1,155"
BALLOT MEASURE,MEASURE J,"FUNDING PROGRAMS SERVING CHILDREN, YOUTH, AND FAMILIES",SUPPORT,Coalition to Grow San Francisco - Grow SF PAC,Independent Expenditure,"$14,940"
BALLOT MEASURE,MEASURE K,PERMANENTLY CLOSING THE UPPER GREAT HIGHWAY TO PRIVATE VEHICLES TO ESTABLISH A PUBLIC OPEN RECREATION SPACE,OPPOSE,"GREAT HIGHWAY FOR ALL - NO ON K, A MATT BOSCHETTO COMMITTEE",Unpaid Bills,"$164,544"
BALLOT MEASURE,MEASURE K,PERMANENTLY CLOSING THE UPPER GREAT HIGHWAY TO PRIVATE VEHICLES TO ESTABLISH A PUBLIC OPEN RECREATION SPACE,OPPOSE,"GREAT HIGHWAY FOR ALL - NO ON K, A MATT BOSCHETTO COMMITTEE",Payments,"$94,684"
BALLOT MEASURE,MEASURE K,PERMANENTLY CLOSING THE UPPER GREAT HIGHWAY TO PRIVATE VEHICLES TO ESTABLISH A PUBLIC OPEN RECREATION SPACE,OPPOSE,"Fix our City SF, Sponsored by Labor Organizations",Independent Expenditure,"$19,186"
BALLOT MEASURE,MEASURE K,PERMANENTLY CLOSING THE UPPER GREAT HIGHWAY TO PRIVATE VEHICLES TO ESTABLISH A PUBLIC OPEN RECREATION SPACE,SUPPORT,"YES ON K, OCEAN BEACH PARK FOR ALL SPONSORED BY COMMUNITY NONPROFITS",Unpaid Bills,"$10,177"
BALLOT MEASURE,MEASURE K,PERMANENTLY CLOSING THE UPPER GREAT HIGHWAY TO PRIVATE VEHICLES TO ESTABLISH A PUBLIC OPEN RECREATION SPACE,SUPPORT,"YES ON K, OCEAN BEACH PARK FOR ALL SPONSORED BY COMMUNITY NONPROFITS",Payments,"$620,226"
BALLOT MEASURE,MEASURE K,PERMANENTLY CLOSING THE UPPER GREAT HIGHWAY TO PRIVATE VEHICLES TO ESTABLISH A PUBLIC OPEN RECREATION SPACE,SUPPORT,Coalition to Grow San Francisco - Grow SF PAC,Independent Expenditure,"$14,940"
BALLOT MEASURE,MEASURE L,ADDITIONAL BUSINESS TAX ON TRANSPORTATION NETWORK COMPANIES AND AUTONOMOUS VEHICLE BUSINESSES TO FUND PUBLIC TRANSPORTATION,OPPOSE,SF FOR MUNI ACCOUNTABILITY AND RELIABLE SERVICE - NO ON PROP L,Unpaid Bills,"-$3,592"
BALLOT MEASURE,MEASURE L,ADDITIONAL BUSINESS TAX ON TRANSPORTATION NETWORK COMPANIES AND AUTONOMOUS VEHICLE BUSINESSES TO FUND PUBLIC TRANSPORTATION,OPPOSE,SF FOR MUNI ACCOUNTABILITY AND RELIABLE SERVICE - NO ON PROP L,Payments,"$545,575"
BALLOT MEASURE,MEASURE L,ADDITIONAL BUSINESS TAX ON TRANSPORTATION NETWORK COMPANIES AND AUTONOMOUS VEHICLE BUSINESSES TO FUND PUBLIC TRANSPORTATION,OPPOSE,TogetherSF Action,Independent Expenditure,"$1,000"
BALLOT MEASURE,MEASURE L,ADDITIONAL BUSINESS TAX ON TRANSPORTATION NETWORK COMPANIES AND AUTONOMOUS VEHICLE BUSINESSES TO FUND PUBLIC TRANSPORTATION,OPPOSE,Coalition to Grow San Francisco - Grow SF PAC,Independent Expenditure,"$19,440"
BALLOT MEASURE,MEASURE L,ADDITIONAL BUSINESS TAX ON TRANSPORTATION NETWORK COMPANIES AND AUTONOMOUS VEHICLE BUSINESSES TO FUND PUBLIC TRANSPORTATION,SUPPORT,"YES ON L, FUND THE BUS",Unpaid Bills,"$80,716"
BALLOT MEASURE,MEASURE L,ADDITIONAL BUSINESS TAX ON TRANSPORTATION NETWORK COMPANIES AND AUTONOMOUS VEHICLE BUSINESSES TO FUND PUBLIC TRANSPORTATION,SUPPORT,"YES ON L, FUND THE BUS",Payments,"$307,452"
BALLOT MEASURE,MEASURE M,CHANGES TO BUSINESS TAXES,SUPPORT,"REVITALIZE SAN FRANCISCO, YES ON M",Unpaid Bills,"$233,355"
BALLOT MEASURE,MEASURE M,CHANGES TO BUSINESS TAXES,SUPPORT,"REVITALIZE SAN FRANCISCO, YES ON M",Payments,"$1,705,180"
BALLOT MEASURE,MEASURE M,CHANGES TO BUSINESS TAXES,SUPPORT,TogetherSF Action,Independent Expenditure,"$1,155"
BALLOT MEASURE,MEASURE M,CHANGES TO BUSINESS TAXES,SUPPORT,Coalition to Grow San Francisco - Grow SF PAC,Independent Expenditure,"$23,440"
BALLOT MEASURE,MEASURE N,FIRST RESPONDER STUDENT LOAN AND TRAINING REIMBURSEMENT FUND,OPPOSE,TogetherSF Action,Independent Expenditure,"$1,000"
BALLOT MEASURE,MEASURE N,FIRST RESPONDER STUDENT LOAN AND TRAINING REIMBURSEMENT FUND,SUPPORT,SUPPORT OUR FIRST RESPONDERS NOW! YES ON N,Unpaid Bills,"-$34,240"
BALLOT MEASURE,MEASURE N,FIRST RESPONDER STUDENT LOAN AND TRAINING REIMBURSEMENT FUND,SUPPORT,SUPPORT OUR FIRST RESPONDERS NOW! YES ON N,Payments,"$198,905"
BALLOT MEASURE,MEASURE N,FIRST RESPONDER STUDENT LOAN AND TRAINING REIMBURSEMENT FUND,SUPPORT,Coalition to Grow San Francisco - Grow SF PAC,Independent Expenditure,"$14,940"
BALLOT MEASURE,MEASURE O,SUPPORTING REPRODUCTIVE RIGHTS,SUPPORT,"MAYOR BREED'S COMMITTEE FOR REPRODUCTIVE FREEDOM, YES ON O",Unpaid Bills,"$11,428"
BALLOT MEASURE,MEASURE O,SUPPORTING REPRODUCTIVE RIGHTS,SUPPORT,"MAYOR BREED'S COMMITTEE FOR REPRODUCTIVE FREEDOM, YES ON O",Payments,"$323,035"
BALLOT MEASURE,MEASURE O,SUPPORTING REPRODUCTIVE RIGHTS,SUPPORT,TogetherSF Action,Independent Expenditure,"$1,155"
BALLOT MEASURE,MEASURE O,SUPPORTING REPRODUCTIVE RIGHTS,SUPPORT,Coalition to Grow San Francisco - Grow SF PAC,Independent Expenditure,"$14,940"
BALLOT MEASURE,MULTIPLE MEASURES,"MEASURES C, D, AND E",MULTIPLE,"REAL REFORM, YES ON C, NO ON D, YES ON E, A COALITION OF SMALL BUSINESSES, NEIGHBORS AND AARON PESKIN",Unpaid Bills,"$43,605"
BALLOT MEASURE,MULTIPLE MEASURES,"MEASURES C, D, AND E",MULTIPLE,"REAL REFORM, YES ON C, NO ON D, YES ON E, A COALITION OF SMALL BUSINESSES, NEIGHBORS AND AARON PESKIN",Payments,"$7,372"
BALLOT MEASURE,MULTIPLE MEASURES,MEASURES D AND E,MULTIPLE,"COMMITTEE TO FIX SAN FRANCISCO GOVERNMENT, YES ON D, NO ON E, A COALITION OF SAN FRANCISCO CIVIC ORGANIZATIONS DEDICATED TO IMPROVING THE CITY'S FUTURE",Unpaid Bills,"$87,446"
BALLOT MEASURE,MULTIPLE MEASURES,MEASURES D AND E,MULTIPLE,"COMMITTEE TO FIX SAN FRANCISCO GOVERNMENT, YES ON D, NO ON E, A COALITION OF SAN FRANCISCO CIVIC ORGANIZATIONS DEDICATED TO IMPROVING THE CITY'S FUTURE",Payments,"$5,928,931"
CANDIDATE,BOARD OF EDUCATION,ANN HSU,SUPPORT,ANN HSU FOR BOARD OF EDUCATION 2024,Unpaid Bills,$0
CANDIDATE,BOARD OF EDUCATION,ANN HSU,SUPPORT,ANN HSU FOR BOARD OF EDUCATION 2024,Payments,"$4,474"
CANDIDATE,BOARD OF EDUCATION,DELDELP MEDINA,SUPPORT,DELDELP MEDINA FOR SAN FRANCISCO SCHOOL BOARD 2024,Unpaid Bills,$0
CANDIDATE,BOARD OF EDUCATION,DELDELP MEDINA,SUPPORT,DELDELP MEDINA FOR SAN FRANCISCO SCHOOL BOARD 2024,Payments,"$1,711"
CANDIDATE,BOARD OF EDUCATION,JAIME HULING,SUPPORT,JAIME HULING FOR SAN FRANCISCO BOARD OF EDUCATION 2024,Unpaid Bills,-$247
CANDIDATE,BOARD OF EDUCATION,JAIME HULING,SUPPORT,JAIME HULING FOR SAN FRANCISCO BOARD OF EDUCATION 2024,Payments,"$78,941"
CANDIDATE,BOARD OF EDUCATION,JAIME HULING,SUPPORT,United Educators of San Francisco Candidate PAC,Independent Expenditure,"$10,285"
CANDIDATE,BOARD OF EDUCATION,JAIME HULING,SUPPORT,SAN FRANCISCO PARENT ACTION PAC,Independent Expenditure,"$3,270"
CANDIDATE,BOARD OF EDUCATION,JAIME HULING,SUPPORT,Coalition to Grow San Francisco - Grow SF PAC,Independent Expenditure,"$14,940"
CANDIDATE,BOARD OF EDUCATION,JOHN JERSIN,SUPPORT,JOHN JERSIN FOR BOARD OF EDUCATION 2024,Unpaid Bills,"$8,101"
CANDIDATE,BOARD OF EDUCATION,JOHN JERSIN,SUPPORT,JOHN JERSIN FOR BOARD OF EDUCATION 2024,Payments,"$115,391"
CANDIDATE,BOARD OF EDUCATION,JOHN JERSIN,SUPPORT,United Educators of San Francisco Candidate PAC,Independent Expenditure,"$10,285"
CANDIDATE,BOARD OF EDUCATION,JOHN JERSIN,SUPPORT,Coalition to Grow San Francisco - Grow SF PAC,Independent Expenditure,"$14,940"
CANDIDATE,BOARD OF EDUCATION,LAURANCE LEE,SUPPORT,LAURANCE LEE FOR BOARD OF EDUCATION 2024,Unpaid Bills,"$5,330"
CANDIDATE,BOARD OF EDUCATION,LAURANCE LEE,SUPPORT,LAURANCE LEE FOR BOARD OF EDUCATION 2024,Payments,"$18,288"
CANDIDATE,BOARD OF EDUCATION,LEFTERIS ELEFTHERIOU,SUPPORT,ELEFTHERIOU FOR SCHOOL BOARD 2024,Unpaid Bills,$0
CANDIDATE,BOARD OF EDUCATION,LEFTERIS ELEFTHERIOU,SUPPORT,ELEFTHERIOU FOR SCHOOL BOARD 2024,Payments,"$4,308"
CANDIDATE,BOARD OF EDUCATION,MATT ALEXANDER,SUPPORT,MATT ALEXANDER FOR SCHOOL BOARD 2024,Unpaid Bills,$0
CANDIDATE,BOARD OF EDUCATION,MATT ALEXANDER,SUPPORT,MATT ALEXANDER FOR SCHOOL BOARD 2024,Payments,"$26,433"
CANDIDATE,BOARD OF EDUCATION,MATT ALEXANDER,SUPPORT,United Educators of San Francisco Candidate PAC,Independent Expenditure,"$15,618"
CANDIDATE,BOARD OF EDUCATION,MIN CHANG,SUPPORT,MIN CHANG FOR SAN FRANCISCO BOARD OF EDUCATION 2024,Unpaid Bills,$0
CANDIDATE,BOARD OF EDUCATION,MIN CHANG,SUPPORT,MIN CHANG FOR SAN FRANCISCO BOARD OF EDUCATION 2024,Payments,"$71,029"
CANDIDATE,BOARD OF EDUCATION,PARAG GUPTA,SUPPORT,PARAG GUPTA FOR SCHOOL BOARD 2024,Unpaid Bills,"$13,863"
CANDIDATE,BOARD OF EDUCATION,PARAG GUPTA,SUPPORT,PARAG GUPTA FOR SCHOOL BOARD 2024,Payments,"$51,489"
CANDIDATE,BOARD OF EDUCATION,PARAG GUPTA,SUPPORT,United Educators of San Francisco Candidate PAC,Independent Expenditure,"$10,285"
CANDIDATE,BOARD OF EDUCATION,PARAG GUPTA,SUPPORT,SAN FRANCISCO PARENT ACTION PAC,Independent Expenditure,"$3,270"
CANDIDATE,BOARD OF EDUCATION,PARAG GUPTA,SUPPORT,Coalition to Grow San Francisco - Grow SF PAC,Independent Expenditure,"$14,940"
CANDIDATE,BOARD OF EDUCATION,SUPRYIA RAY,SUPPORT,RAY FOR SCHOOL BOARD 2024,Unpaid Bills,"$5,504"
CANDIDATE,BOARD OF EDUCATION,SUPRYIA RAY,SUPPORT,RAY FOR SCHOOL BOARD 2024,Payments,"$31,301"
CANDIDATE,BOARD OF EDUCATION,SUPRYIA RAY,SUPPORT,SAN FRANCISCO PARENT ACTION PAC,Independent Expenditure,"$34,118"
CANDIDATE,BOARD OF EDUCATION,SUPRYIA RAY,SUPPORT,Coalition to Grow San Francisco - Grow SF PAC,Independent Expenditure,"$14,940"
CANDIDATE,BOARD OF EDUCATION,VIRGINIA CHEUNG,SUPPORT,VIRGINIA CHEUNG FOR SAN FRANCISCO BOARD OF EDUCATION 2024,Unpaid Bills,$0
CANDIDATE,BOARD OF EDUCATION,VIRGINIA CHEUNG,SUPPORT,VIRGINIA CHEUNG FOR SAN FRANCISCO BOARD OF EDUCATION 2024,Payments,"$21,912"
CANDIDATE,BOARD OF SUPERVISORS - DISTRICT 1,CONNIE CHAN,OPPOSE,COALITION TO GROW SAN FRANCISCO - GROW SF PAC OPPOSING CHAN FOR SUPERVISOR 2024,Unpaid Bills,"-$13,663"
CANDIDATE,BOARD OF SUPERVISORS - DISTRICT 1,CONNIE CHAN,OPPOSE,COALITION TO GROW SAN FRANCISCO - GROW SF PAC OPPOSING CHAN FOR SUPERVISOR 2024,Payments,"$40,145"
CANDIDATE,BOARD OF SUPERVISORS - DISTRICT 1,CONNIE CHAN,OPPOSE,TogetherSF Action,Independent Expenditure,"$2,500"
CANDIDATE,BOARD OF SUPERVISORS - DISTRICT 1,CONNIE CHAN,SUPPORT,CONNIE CHAN FOR SUPERVISOR 2024,Unpaid Bills,$0
CANDIDATE,BOARD OF SUPERVISORS - DISTRICT 1,CONNIE CHAN,SUPPORT,CONNIE CHAN FOR SUPERVISOR 2024,Payments,"$374,638"
CANDIDATE,BOARD OF SUPERVISORS - DISTRICT 1,CONNIE CHAN,SUPPORT,Tenants and Families United sponsored by Center for Empowered Politics,Independent Expenditure,"$2,104"
CANDIDATE,BOARD OF SUPERVISORS - DISTRICT 1,CONNIE CHAN,SUPPORT,Tenants and Families United PAC sponsored by Center for Empowered Politics,Independent Expenditure,"$9,463"
CANDIDATE,BOARD OF SUPERVISORS - DISTRICT 1,CONNIE CHAN,SUPPORT,San Francisco Labor Council Labor & Neighbor Independent Expenditure Political Action Committee,Independent Expenditure,"$9,720"
CANDIDATE,BOARD OF SUPERVISORS - DISTRICT 1,CONNIE CHAN,SUPPORT,"Fix our City SF, Sponsored by Labor Organizations",Independent Expenditure,"$693,473"
CANDIDATE,BOARD OF SUPERVISORS - DISTRICT 1,CONNIE CHAN,SUPPORT,Building a Working SF Sponsored by Labor Organizations,Independent Expenditure,"$39,294"
CANDIDATE,BOARD OF SUPERVISORS - DISTRICT 1,CONNIE CHAN,SUPPORT,Asian Americans for Representation,Independent Expenditure,"$90,913"
CANDIDATE,BOARD OF SUPERVISORS - DISTRICT 1,JEN NOSSOKOFF,SUPPORT,JEN NOSSOKOFF FOR DISTRICT 1 SUPERVISOR 2024,Unpaid Bills,"$4,015"
CANDIDATE,BOARD OF SUPERVISORS - DISTRICT 1,JEN NOSSOKOFF,SUPPORT,JEN NOSSOKOFF FOR DISTRICT 1 SUPERVISOR 2024,Payments,"$67,078"
CANDIDATE,BOARD OF SUPERVISORS - DISTRICT 1,JEREMIAH BOEHNER,SUPPORT,BOEHNER FOR D1 SUPERVISOR 2024,Unpaid Bills,$0
CANDIDATE,BOARD OF SUPERVISORS - DISTRICT 1,JEREMIAH BOEHNER,SUPPORT,BOEHNER FOR D1 SUPERVISOR 2024,Payments,"$3,624"
CANDIDATE,BOARD OF SUPERVISORS - DISTRICT 1,MARJAN PHILHOUR,OPPOSE,San Francisco Labor Council Labor & Neighbor Independent Expenditure Political Action Committee,Independent Expenditure,"$49,608"
CANDIDATE,BOARD OF SUPERVISORS - DISTRICT 1,MARJAN PHILHOUR,OPPOSE,"Fix our City SF, Sponsored by Labor Organizations",Independent Expenditure,"$319,703"
CANDIDATE,BOARD OF SUPERVISORS - DISTRICT 1,MARJAN PHILHOUR,SUPPORT,VOTE MARJAN PHILHOUR FOR SUPERVISOR 2024,Unpaid Bills,"$8,798"
CANDIDATE,BOARD OF SUPERVISORS - DISTRICT 1,MARJAN PHILHOUR,SUPPORT,VOTE MARJAN PHILHOUR FOR SUPERVISOR 2024,Payments,"$502,251"
CANDIDATE,BOARD OF SUPERVISORS - DISTRICT 1,MARJAN PHILHOUR,SUPPORT,Families for a Vibrant SF Sponsored by Abundance Network,Independent Expenditure,"$275,878"
CANDIDATE,BOARD OF SUPERVISORS - DISTRICT 1,MARJAN PHILHOUR,SUPPORT,Coalition to Grow San Francisco - Grow SF PAC,Independent Expenditure,"$14,940"
CANDIDATE,BOARD OF SUPERVISORS - DISTRICT 1,MARJAN PHILHOUR,SUPPORT,Alice B. Toklas Lesbian and Gay Democratic Club PAC,Independent Expenditure,"$1,000"
CANDIDATE,BOARD OF SUPERVISORS - DISTRICT 3,DANNY SAUTER,OPPOSE,San Francisco Labor Council Labor & Neighbor Independent Expenditure Political Action Committee,Independent Expenditure,"$55,746"
CANDIDATE,BOARD OF SUPERVISORS - DISTRICT 3,DANNY SAUTER,SUPPORT,DANNY SAUTER FOR SUPERVISOR 2024,Unpaid Bills,"$24,446"
CANDIDATE,BOARD OF SUPERVISORS - DISTRICT 3,DANNY SAUTER,SUPPORT,DANNY SAUTER FOR SUPERVISOR 2024,Payments,"$345,056"
CANDIDATE,BOARD OF SUPERVISORS - DISTRICT 3,DANNY SAUTER,SUPPORT,Families for a Vibrant SF Sponsored by Abundance Network,Independent Expenditure,"$161,877"
CANDIDATE,BOARD OF SUPERVISORS - DISTRICT 3,DANNY SAUTER,SUPPORT,Coalition to Grow San Francisco - Grow SF PAC,Independent Expenditure,"$70,910"
CANDIDATE,BOARD OF SUPERVISORS - DISTRICT 3,EDUARD NAVARRO,SUPPORT,EDUARD NAVARRO FOR SUPERVISOR 2024,Unpaid Bills,"-$6,000"
CANDIDATE,BOARD OF SUPERVISORS - DISTRICT 3,EDUARD NAVARRO,SUPPORT,EDUARD NAVARRO FOR SUPERVISOR 2024,Payments,"$67,738"
CANDIDATE,BOARD OF SUPERVISORS - DISTRICT 3,MATTHEW SUSK,SUPPORT,SUSK FOR SUPERVISOR 2024,Unpaid Bills,$0
